	TF	Target	Sources	PMIDs	N	Factor / Gene Name
2384	MYC	FECH	HTRI	12695333	1	MYC / FECH
2385	RELA	PTAFR	TRRUST	11502209	1	RELA / PTAFR
2386	ETS2	PDE7A	TRRUST	12737631	1	ETS2 / PDE7A
2387	ZNF300	IL6	TRRUST	21777376	1	ZNF300 / IL6
2388	CTCF	WT1	TRRUST	24534946	1	CTCF / WT1
2389	STAT3	TGFB1	TRRUST	16474852	1	STAT3 / TGFB1
2390	ATF5	CYP2B6	TRRUST	18332083	1	ATF5 / CYP2B6
2391	PAX3	MITF	Fastforward|TRRUST	9500554|10973953|20925909|21965087|19074888|19026785|9500554	6	PAX3 / MITF
2392	PITX2	SLC13A3	TRRUST	21873665	1	PITX2 / SLC13A3
2393	RELA	PTX3	HTRI	18226221	1	RELA / PTX3
2394	SP1	BLMH	HTRI|TRRUST	21190945|21190945	1	SP1 / BLMH
2395	BRCA1	KRT5	TRRUST	16241993|19882246	2	BRCA1 / KRT5
2396	HOXA9	SELE	TRRUST	22269951	1	HOXA9 / SELE
2397	CEBPB	GFER	HTRI|ORTI|TRRUST	20690902||20690902|20382118	3	CEBPB / GFER
2398	CIITA	HLA-DPB1	TRRUST	11889043	1	CIITA / HLA-DPB1
2399	FOXO1	PRL	HTRI|TFacTs|TRRUST	19727442||17609436|21401636	4	FOXO1 / PRL
2400	USF1	APOC3	ORegAnno	11839757	1	USF1 / APOC3
2401	CDX2	CDH17	TRRUST	20568120|12404231|15732140	3	CDX2 / CDH17
2402	STAT6	CXCL8	TRRUST	16004996	1	STAT6 / CXCL8
2403	MBD2	ALOX5	TRRUST	19781662	1	MBD2 / ALOX5
2404	SMAD4	HP	TRRUST	11331273	1	SMAD4 / HP
2405	PAX8	F2R	HTRI	18632625	1	PAX8 / F2R
2406	RNF14	CCND1	TRRUST	17510080	1	RNF14 / CCND1
2407	NFATC2	IL4	PAZAR	10069428	1	NFATC2 / IL4
2408	NR5A2	CEL	HTRI	12853459	1	NR5A2 / CEL
2409	TP53	CCNB1	TRRUST	11892838	1	TP53 / CCNB1
2410	RELA	PTEN	TRRUST	17334236|19940030	2	RELA / PTEN
2411	ESR2	DNAH9	HTRI	20034404	1	ESR2 / DNAH9
2412	HDAC11	IL10	TRRUST	19011628	1	HDAC11 / IL10
2413	CTCF	PMPCB	ORegAnno	22951020	1	CTCF / PMPCB
2414	RFX1	MSLN	TRRUST	23025254	1	RFX1 / MSLN
2415	XBP1	GAD1	TRRUST	18335162	1	XBP1 / GAD1
2416	NUPR1	BCL2L1	TRRUST	18690848	1	NUPR1 / BCL2L1
2417	GATA3	LCN8	HTRI	19559773	1	GATA3 / LCN8
2418	TP53	VEGFA	TRRUST	16684540|11559575	2	TP53 / VEGFA
2419	JUND	SFTPD	TRRUST	10915785	1	JUND / SFTPD
2420	MYC	PSEN2	HTRI	12695333	1	MYC / PSEN2
2421	JUND	TGFB1	TRRUST	10843986	1	JUND / TGFB1
2422	FOXP2	SRPX	TRRUST	20858596	1	FOXP2 / SRPX
2423	HSF4	CRYGC	TRRUST	19250318	1	HSF4 / CRYGC
2424	E2F1	NPAT	TFacTs|TRRUST	|12665581|12665581	2	E2F1 / NPAT
2425	TNFAIP3	SATB1	TRRUST	24039598	1	TNFAIP3 / SATB1
2426	MTA1	ESR1	TRRUST	24413532|11146623	2	MTA1 / ESR1
2427	USF1	GCK	TRRUST	9677331	1	USF1 / GCK
2428	JUN	DCN	TRRUST	8798756	1	JUN / DCN
2429	SP1	CAV1	TRRUST	10684646	1	SP1 / CAV1
2430	BACH1	HMOX1	TRRUST	17942419|17409198|18550526|21982894	4	BACH1 / HMOX1
2431	HDAC4	RECK	TRRUST	22781396	1	HDAC4 / RECK
2432	MYCN	CHN1	HTRI	16093321	1	MYCN / CHN1
2433	SP1	CCNA1	HTRI	10196209	1	SP1 / CCNA1
2434	PML	NR4A1	TRRUST	12032831	1	PML / NR4A1
2435	MAML1	TNFRSF12A	TRRUST	18503747	1	MAML1 / TNFRSF12A
2436	FOSL2	BRCA1	Fastforward|TRRUST	17434164|17434164	1	FOSL2 / BRCA1
2437	MYCN	CALN1	HTRI	16093321	1	MYCN / CALN1
2438	CEBPA	MYC	TRRUST	12032779	1	CEBPA / MYC
2439	ILF2	IL2	TRRUST	9065434	1	ILF2 / IL2
2440	YY1	IL5	TFacTs|TRRUST	|17270283|10518827|17270283	3	YY1 / IL5
2441	HOXD9	HOXD9	Fastforward|TRRUST	1756725|7926763	2	HOXD9 / HOXD9
2442	NFKB1	PTGDS	TRRUST	19094210	1	NFKB1 / PTGDS
2443	E2F4	GAS2L1	HTRI	11799066	1	E2F4 / GAS2L1
2444	NFKB1	STAT4	Fastforward|TRRUST	17046972|17046972	1	NFKB1 / STAT4
2445	IRF1	TAPBP	TRRUST	18694960	1	IRF1 / TAPBP
2446	ETS2	CXCL8	TRRUST	12438253	1	ETS2 / CXCL8
2447	CREB1	SOX9	Fastforward|TRRUST	17289023|17289023	1	CREB1 / SOX9
2448	STAT6	EGLN3	TRRUST	18342537	1	STAT6 / EGLN3
2449	RXRA	CYP3A4	HTRI|TRRUST	19712670|16608838|16608838|18400206	3	RXRA / CYP3A4
2450	DDX5	IGF2	TRRUST	20966046	1	DDX5 / IGF2
2451	PPARA	PPARA	HTRI	11981036	1	PPARA / PPARA
2452	AIP	RSF1	TRRUST	21984905	1	AIP / RSF1
2453	RARA	ETS1	TRRUST	11327309	1	RARA / ETS1
2454	NR3C2	CABIN1	TRRUST	22345406	1	NR3C2 / CABIN1
2455	PITX1	DUX4	TRRUST	23206257	1	PITX1 / DUX4
2456	SP1	F3	HTRI|TRRUST	8576248|10707957|8576248	2	SP1 / F3
2457	HOXA5	VIM	PAZAR	10631814	1	HOXA5 / VIM
2458	SPI1	ITGA2B	TRRUST	9305885	1	SPI1 / ITGA2B
2459	TWIST1	BMI1	TRRUST	21876555	1	TWIST1 / BMI1
2460	NRF1	SMAD4	ORegAnno	21421563	1	NRF1 / SMAD4
2461	BCL6	FCER2	TRRUST	11342629	1	BCL6 / FCER2
2462	BRCA1	DDB2	TRRUST	12170778	1	BRCA1 / DDB2
2463	HDAC4	SLC2A4	TRRUST	23899560	1	HDAC4 / SLC2A4
2464	STAT3	BIRC5	HTRI|TFacTs|TRRUST	16397018|17533050||17533050|15184887|16651438|17880940|19284568|19880237|15469392|20826784|21344490	11	STAT3 / BIRC5
2465	KDM4B	AR	TRRUST	23435229	1	KDM4B / AR
2466	RUNX2	NELL1	TFacTs	|17042739	2	RUNX2 / NELL1
2467	HIF1A	AURKA	HTRI	18562694	1	HIF1A / AURKA
2468	STAT3	FGF2	TRRUST	21418908|23086340|16540670	3	STAT3 / FGF2
2469	E2F1	AXIN2	TFacTs	|15766563	2	E2F1 / AXIN2
2470	MYC	PRTN3	HTRI	12695333	1	MYC / PRTN3
2471	VDR	BGLAP	TFacTs|TRRUST	|11278818|20227497	3	VDR / BGLAP
2472	NFKBIA	CD40	TRRUST	9733827	1	NFKBIA / CD40
2473	GATA1	ZNF268	TRRUST	22235304	1	GATA1 / ZNF268
2474	TLE3	RUNX1	TRRUST	19403666	1	TLE3 / RUNX1
2475	CEBPD	CFTR	HTRI	7499410	1	CEBPD / CFTR
2476	NFKB1	MAT2A	TRRUST	14530285	1	NFKB1 / MAT2A
2477	TP53	BGLAP	TRRUST	21964930	1	TP53 / BGLAP
2478	IRF1	CDKN1A	TRRUST	12531694|12420214|15509808	3	IRF1 / CDKN1A
2479	HTATIP2	MMP2	TRRUST	19349353	1	HTATIP2 / MMP2
2480	THRB	TRH	PAZAR	9140079	1	THRB / TRH
2481	SP1	CBFB	TRRUST	9064279	1	SP1 / CBFB
2482	KDM4B	CCNA1	TRRUST	20682797	1	KDM4B / CCNA1
2483	PPARG	ANGPTL4	TRRUST	15190076|14570927	2	PPARG / ANGPTL4
2484	CDX2	MEP1A	TRRUST	22326557	1	CDX2 / MEP1A
2485	DDB1	CDKN2A	TRRUST	19208841	1	DDB1 / CDKN2A
2486	CREBBP	TP53	TRRUST	15154850	1	CREBBP / TP53
2487	GLI2	FOXC2	TRRUST	19360354	1	GLI2 / FOXC2
2488	VDR	PODXL	TRRUST	23548800	1	VDR / PODXL
2489	BRCA1	CDKN1B	TRRUST	18025037|16331276	2	BRCA1 / CDKN1B
2490	MYCN	NDRG1	TRRUST	19322780|11936845|14734473|23554972	4	MYCN / NDRG1
2491	HDAC2	CDH1	TRRUST	19706751|20714342|21685935	3	HDAC2 / CDH1
2492	NCOR2	PCK2	TRRUST	17456789	1	NCOR2 / PCK2
2493	NR2E1	PTEN	PAZAR	16702404	1	NR2E1 / PTEN
2494	ESR2	MEF2D	HTRI	20034404	1	ESR2 / MEF2D
2495	SREBF1	PPARG	Fastforward|TRRUST	10409739|10409739	1	SREBF1 / PPARG
2496	DMAP1	CDKN1A	TRRUST	24559687	1	DMAP1 / CDKN1A
2497	NUPR1	EP300	TRRUST	22858377	1	NUPR1 / EP300
2498	MYCN	HLA-B	TRRUST	8895520	1	MYCN / HLA-B
2499	STAT3	MYC	TRRUST	15184887|17204573|19259613|20067773|22317895|10464281|15469392|18184402|20654581	9	STAT3 / MYC
2500	MYC	RPS16	HTRI	12747840	1	MYC / RPS16
2501	STAT1	LY96	TRRUST	21572044	1	STAT1 / LY96
2502	CBFA2T3	TCF12	TRRUST	18456661	1	CBFA2T3 / TCF12
2503	CIITA	MMP9	TRRUST	15247301	1	CIITA / MMP9
2504	USF2	TOP3A	TRRUST	11557042	1	USF2 / TOP3A
2505	MITF	TPH1	TFacTs	1999537	1	MITF / TPH1
2506	POU2F3	SPRR2A	TRRUST	8816448	1	POU2F3 / SPRR2A
2507	MYC	WNT10B	HTRI	12747840	1	MYC / WNT10B
2508	CTCF	CEP135	ORegAnno	22951020	1	CTCF / CEP135
2509	MYC	ZNF271P	HTRI	12747840	1	MYC / ZNF271P
2510	SCD5	EGR2	TRRUST	22510410	1	SCD5 / EGR2
2511	IRF8	CFLAR	TRRUST	19155307	1	IRF8 / CFLAR
2512	HINFP	RB1	Fastforward	8119988	1	HINFP / RB1
2513	GLI1	CDK2	TRRUST	20647328	1	GLI1 / CDK2
2514	HDAC1	RARB	TRRUST	14731134	1	HDAC1 / RARB
2515	PPARGC1A	LDLR	TFacTs	|19322023	2	PPARGC1A / LDLR
2516	E2F2	CCND3	TFacTs	|12611887	2	E2F2 / CCND3
2517	AR	KLK2	TRRUST	11532861|16751804|20688158|9241247	4	AR / KLK2
2518	JUN	ALOX12	TRRUST	14518567	1	JUN / ALOX12
2519	NFKB1	CEACAM1	TRRUST	11306560	1	NFKB1 / CEACAM1
2520	TCF7	NT5E	TFacTs	15149841	1	TCF7 / NT5E
2521	RELA	TRPC1	TRRUST	16709572	1	RELA / TRPC1
2522	SP3	DLEC1	HTRI	19116449	1	SP3 / DLEC1
2523	MYC	THBS1	TFacTs	|14519204	2	MYC / THBS1
2524	SP3	UBC	HTRI|TRRUST	19733223|19733223	1	SP3 / UBC
2525	ESR1	FLT1	TRRUST	17242190	1	ESR1 / FLT1
2526	E2F6	WDR36	HTRI	12909625	1	E2F6 / WDR36
2527	SP1	TICAM1	TRRUST	14960149	1	SP1 / TICAM1
2528	KLF6	ATF3	TRRUST	18755691	1	KLF6 / ATF3
2529	ESR2	NBPF1	HTRI	19376833	1	ESR2 / NBPF1
2530	FIGLA	TCF3	TRRUST	18499083	1	FIGLA / TCF3
2531	STAT1	SP100	Fastforward	8810287	1	STAT1 / SP100
2532	MYC	JUN	HTRI	12695333	1	MYC / JUN
2533	GLI2	RNASE3	TFacTs	|14691458	2	GLI2 / RNASE3
2534	PITX1	NKX3-1	TRRUST	21425961	1	PITX1 / NKX3-1
2535	NR1I2	CES1	HTRI	19129222	1	NR1I2 / CES1
2536	SP1	NDUFS8	HTRI	11955626	1	SP1 / NDUFS8
2537	SMARCB1	CDKN2A	TRRUST	14604992	1	SMARCB1 / CDKN2A
2538	NFYA	CBS	TRRUST	12427542	1	NFYA / CBS
2539	STAT1	INO80	ORegAnno	22951020	1	STAT1 / INO80
2540	E2F1	SP3	TFacTs	|18342022	2	E2F1 / SP3
2541	RXRA	SERPINC1	TRRUST	8910619	1	RXRA / SERPINC1
2542	NCOA3	OXT	PAZAR	11574541	1	NCOA3 / OXT
2543	SP1	MUC4	TRRUST	11418607	1	SP1 / MUC4
2544	TP53	BCL2	TRRUST	11313951|17693666|19411072|20428827|9000137|21859835	6	TP53 / BCL2
2545	UTF1	CDKN1B	TRRUST	23536577	1	UTF1 / CDKN1B
2546	NR0B2	G6PC	TRRUST	15358835	1	NR0B2 / G6PC
2547	CTCF	COL27A1	ORegAnno	22951020	1	CTCF / COL27A1
2548	ZIC1	FAM57A	TRRUST	20713527	1	ZIC1 / FAM57A
2549	SP1	IGFBP4	HTRI|TRRUST	10342835|10342835	1	SP1 / IGFBP4
2550	STAT1	JAK2	TRRUST	21239533	1	STAT1 / JAK2
2551	HDAC1	BIRC5	TRRUST	17124180	1	HDAC1 / BIRC5
2552	KAT2B	LIN28A	TRRUST	24631505	1	KAT2B / LIN28A
2553	SP3	ALPL	HTRI|TRRUST	11073119|11073119	1	SP3 / ALPL
2554	TCF4	WNT4	TRRUST	21436631	1	TCF4 / WNT4
2555	SP1	CSNK2A1	TRRUST	19027835	1	SP1 / CSNK2A1
2556	TP73	CDK1	HTRI|TRRUST	19861536|19067706	2	TP73 / CDK1
2557	LEF1	APP	TFacTs	15979100	1	LEF1 / APP
2558	SRF	MMP14	TRRUST	12654640	1	SRF / MMP14
2559	ESR1	AHR	TRRUST	10620335	1	ESR1 / AHR
2560	OTX2	CDC25C	TRRUST	21047732	1	OTX2 / CDC25C
2561	SMAD3	ZFP36	TFacTs|TRRUST	12754205|12754205	1	SMAD3 / ZFP36
2562	WWTR1	BAK1	TRRUST	22470139	1	WWTR1 / BAK1
2563	MYC	MBD1	HTRI	12747840	1	MYC / MBD1
2564	EGR1	FAP	TRRUST	20515787	1	EGR1 / FAP
2565	NFYA	STK11	TRRUST	22412893	1	NFYA / STK11
2566	SOX9	MITF	TRRUST	17702866	1	SOX9 / MITF
2567	RARA	FOLR2	HTRI	12543860	1	RARA / FOLR2
2568	ESR1	XCL2	HTRI	20034404	1	ESR1 / XCL2
2569	EGR2	IDO1	TRRUST	24007274	1	EGR2 / IDO1
2570	NR3C1	MUC4	TRRUST	11418607	1	NR3C1 / MUC4
2571	ZNF350	TRIM28	TRRUST	22975076	1	ZNF350 / TRIM28
2572	PAX5	CD79A	TRRUST	9545244	1	PAX5 / CD79A
2573	USF2	FMR1	TRRUST	11058604|15175277	2	USF2 / FMR1
2574	FOXA2	APOA1	ORegAnno|PAZAR|TRRUST	7961760|7961760|7961760	1	FOXA2 / APOA1
2575	HNF4A	CYP2C9	HTRI|TRRUST	20086032|16540586|15919766|15919766|16540586|18552123|20086032|16882880	5	HNF4A / CYP2C9
2576	E2F3	TERT	TFacTs	|12368233	2	E2F3 / TERT
2577	ZNF143	BUB1B	TRRUST	17478512	1	ZNF143 / BUB1B
2578	IKZF1	STAT4	Fastforward	16081070	1	IKZF1 / STAT4
2579	ETS2	ICAM1	TRRUST	9572487	1	ETS2 / ICAM1
2580	TP73	BBC3	TRRUST	17700533	1	TP73 / BBC3
2581	RELA	IFNB1	TRRUST	10074115|12077266|17496231|15955070|16125763|17079305|22547704	7	RELA / IFNB1
2582	ETS1	TGFBR2	TRRUST	14976186|10508522	2	ETS1 / TGFBR2
2583	MYC	TBP	Fastforward	7880838	1	MYC / TBP
2584	SP1	CREB1	Fastforward|TRRUST	17937658|17937658	1	SP1 / CREB1
2585	RB1	CDH1	TRRUST	12391156	1	RB1 / CDH1
2586	TFAP2A	TAF7	HTRI|Fastforward|TRRUST	12364593|12364593|12364593	1	TFAP2A / TAF7
2587	SMAD2	SERPINB5	TFacTs	|17204482	2	SMAD2 / SERPINB5
2588	MYC	YBX1	Fastforward	12080043	1	MYC / YBX1
2589	STAT1	IFNG	TRRUST	13678429|15055356|18616672|16195385|20004484	5	STAT1 / IFNG
2590	NFKB1	FLT4	TRRUST	19901262	1	NFKB1 / FLT4
2591	JUND	BCL6	TRRUST	22493372|18071306	2	JUND / BCL6
2592	ERG	FGF2	TRRUST	12137767	1	ERG / FGF2
2593	EPAS1	FLT1	TRRUST	15192019|19616846	2	EPAS1 / FLT1
2594	ASCL1	TPH1	TRRUST	19744316	1	ASCL1 / TPH1
2595	TCF7L2	BCL2L2	TFacTs	pmid: 19124064	1	TCF7L2 / BCL2L2
2596	MZF1	CDH2	TRRUST	15541732	1	MZF1 / CDH2
2597	HIVEP2	HLA-A	TRRUST	1409593	1	HIVEP2 / HLA-A
2598	TP53	WRN	TRRUST	11427532	1	TP53 / WRN
2599	HOXA10	IGFBP1	TRRUST	15200677|20478621	2	HOXA10 / IGFBP1
2600	NR1I2	LRR1	HTRI	19129222	1	NR1I2 / LRR1
2601	EPAS1	VEGFA	HTRI|TRRUST	11912213|11301389|11751212|16900513|19080330|15156561|16920734	7	EPAS1 / VEGFA
2602	CREBBP	HOXA10	TRRUST	16849538	1	CREBBP / HOXA10
2603	MEF2D	HDAC7	TRRUST	15171250	1	MEF2D / HDAC7
2604	RFXANK	HLA-DRB1	TRRUST	11258423	1	RFXANK / HLA-DRB1
2605	KLF4	NANOG	Fastforward|TFacTs|TRRUST	19522013||19522013|19522013	2	KLF4 / NANOG
2606	SP1	ADRA2B	TRRUST	15037199	1	SP1 / ADRA2B
2607	NOTCH1	MYC	Fastforward	18490439	1	NOTCH1 / MYC
2608	HOXA1	STAT3	Fastforward	18276758	1	HOXA1 / STAT3
2609	MYC	CSDE1	HTRI|TFacTs	12747840||12747840	2	MYC / CSDE1
2610	ATF4	F7	TRRUST	22848420	1	ATF4 / F7
2611	RELA	AR	TRRUST	14715080|15517885|16619263	3	RELA / AR
2612	IRF5	PDLIM7	TRRUST	16140744	1	IRF5 / PDLIM7
2613	TP53	FRMD5	TRRUST	19139068	1	TP53 / FRMD5
2614	SNAI2	POU5F1	TRRUST	21567100	1	SNAI2 / POU5F1
2615	SP1	SGPL1	TRRUST	21184844	1	SP1 / SGPL1
2616	SP1	NFKB1	TRRUST	20538607|9151857	2	SP1 / NFKB1
2617	AHR	ARNT	TRRUST	19255421|8631989	2	AHR / ARNT
2618	GATA3	STAT4	TRRUST	21632975	1	GATA3 / STAT4
2619	STAT2	STAT1	TRRUST	21498520	1	STAT2 / STAT1
2620	NFYB	FAS	TRRUST	9261184	1	NFYB / FAS
2621	STAT3	ESR2	TRRUST	21546410	1	STAT3 / ESR2
2622	POU5F1	GATA6	TRRUST	14990861|17068183	2	POU5F1 / GATA6
2623	CEBPB	MAD1L1	TRRUST	21345218	1	CEBPB / MAD1L1
2624	NFKB1	CSF2	TRRUST	18285351	1	NFKB1 / CSF2
2625	HIF1A	CCR7	TRRUST	17178876|19305150	2	HIF1A / CCR7
2626	TP53	HAMP	HTRI	17593032	1	TP53 / HAMP
2627	ERG	ERG	TRRUST	21536859	1	ERG / ERG
2628	MYCN	GALNT14	HTRI	16093321	1	MYCN / GALNT14
2629	GATA2	SIRT2	ORegAnno	22951020	1	GATA2 / SIRT2
2630	MYC	STAT6	HTRI	12695333	1	MYC / STAT6
2631	HNF1B	TMEM27	PAZAR	16330323|17476336	2	HNF1B / TMEM27
2632	PAX6	GIP	PAZAR	18593849	1	PAX6 / GIP
2633	USF1	SLC6A2	PAZAR	11333263	1	USF1 / SLC6A2
2634	ONECUT2	FOXA2	Fastforward	9915796	1	ONECUT2 / FOXA2
2635	SP1	MUC2	HTRI|TRRUST	9224654|12077147|11212251	3	SP1 / MUC2
2636	CTBP1	BRCA2	TRRUST	18765668	1	CTBP1 / BRCA2
2637	CREBBP	HMGCS1	TFacTs	|9651391	2	CREBBP / HMGCS1
2638	STAT1	SDHAF2	ORegAnno	22951020	1	STAT1 / SDHAF2
2639	MYCN	CTSD	HTRI|TRRUST	18566016|18566016	1	MYCN / CTSD
2640	SP1	CBS	TRRUST	11415440|14670973|20392694	3	SP1 / CBS
2641	GATA2	VWA5A	ORegAnno	22951020	1	GATA2 / VWA5A
2642	JUND	ITGAV	TRRUST	23319049	1	JUND / ITGAV
2643	NFKB1	TNFSF14	TRRUST	21243522	1	NFKB1 / TNFSF14
2644	CTCF	ZNF462	ORegAnno	22951020	1	CTCF / ZNF462
2645	MYCN	MCM5	HTRI|TRRUST	17826980|17826980	1	MYCN / MCM5
2646	ETS1	PRL	TRRUST	12200232|21401636	2	ETS1 / PRL
2647	AR	PC	TRRUST	18497079	1	AR / PC
2648	EP300	RS1	TRRUST	18927113	1	EP300 / RS1
2649	TFAP2A	DBH	TRRUST	11146001	1	TFAP2A / DBH
2650	AR	CTNNB1	TRRUST	18535113	1	AR / CTNNB1
2651	E2F4	DONSON	ORegAnno	22951020	1	E2F4 / DONSON
2652	TFAP2C	GPX1	TRRUST	22964634	1	TFAP2C / GPX1
2653	TP53	EPCAM	HTRI	19141643	1	TP53 / EPCAM
2654	TAL1	BRF1	HTRI	20028976	1	TAL1 / BRF1
2655	PAX6	GCG	TRRUST	21824252	1	PAX6 / GCG
2656	REL	IL1B	TRRUST	8413223	1	REL / IL1B
2657	CBX7	CDH1	TRRUST	19706751	1	CBX7 / CDH1
2658	SIRT1	MYC	TRRUST	22245592|22483777	2	SIRT1 / MYC
2659	TAL1	MAP3K4	HTRI	20028976	1	TAL1 / MAP3K4
2660	DBP	ST6GAL1	TFacTs	|1737800	2	DBP / ST6GAL1
2661	ATF4	DDIT3	Fastforward|TRRUST	14630918|19922526|17276738|16246168|17276738|20020050|21044953|21966512|17455323|22691366	9	ATF4 / DDIT3
2662	PPARA	PLIN2	TRRUST	17150915	1	PPARA / PLIN2
2663	PPARG	POU2F1	TRRUST	12881480	1	PPARG / POU2F1
2664	MYC	IGF2BP1	TRRUST	21252116	1	MYC / IGF2BP1
2665	ATF5	DISC1	TRRUST	12812986	1	ATF5 / DISC1
2666	ATF5	SH2D1A	TRRUST	18832568	1	ATF5 / SH2D1A
2667	FOS	MT-CO2	HTRI	9620167	1	FOS / MT-CO2
2668	SMARCA4	CDKN2A	TRRUST	14604992	1	SMARCA4 / CDKN2A
2669	USF1	CYP1A2	HTRI	12663044	1	USF1 / CYP1A2
2670	KLF4	BDKRB2	TRRUST	15632413	1	KLF4 / BDKRB2
2671	APEX1	APEX1	Fastforward	8942627	1	APEX1 / APEX1
2672	NFKB1	BST1	TRRUST	9030974	1	NFKB1 / BST1
2673	ELK1	MECOM	TRRUST	22689058	1	ELK1 / MECOM
2674	FOXP1	IL2	PAZAR	12692134	1	FOXP1 / IL2
2675	JUN	MMP2	TRRUST	15777790	1	JUN / MMP2
2676	PAX2	NCAM1	TRRUST	16406048|19485921	2	PAX2 / NCAM1
2677	MYC	COL4A1	HTRI	12695333	1	MYC / COL4A1
2678	MYC	WRN	PAZAR|TRRUST	12842909|12842909	1	MYC / WRN
2679	BCHE	MB	ORegAnno	8330378	1	BCHE / MB
2680	VDR	IGFBP1	Fastforward	14963110	1	VDR / IGFBP1
2681	CTNNBIP1	MMP14	TRRUST	14639622	1	CTNNBIP1 / MMP14
2682	HMGA2	CDH1	TRRUST	19179606	1	HMGA2 / CDH1
2683	MTA1	ALOX15	TRRUST	19198625	1	MTA1 / ALOX15
2684	GTF2IRD1	HOXC8	Fastforward	17346708	1	GTF2IRD1 / HOXC8
2685	GLI2	SPART	TFacTs	|14691458	2	GLI2 / SPART
2686	KLF4	ALPI	TRRUST	12919939	1	KLF4 / ALPI
2687	HNF1A	ADH1A	TFacTs	|1620113	2	HNF1A / ADH1A
2688	TCF7	CEACAM5	TFacTs	15890249	1	TCF7 / CEACAM5
2689	TFAP2A	ETS1	TRRUST	1945412	1	TFAP2A / ETS1
2690	MYC	TFAM	TRRUST	15988031	1	MYC / TFAM
2691	GCM1	ERVFRD-1	TRRUST	20484742	1	GCM1 / ERVFRD-1
2692	ZBTB7A	CDKN2A	TRRUST	17189472	1	ZBTB7A / CDKN2A
2693	HNF1B	UMOD	TRRUST	18846391	1	HNF1B / UMOD
2694	CTCFL	BAG1	TRRUST	18413740	1	CTCFL / BAG1
2695	PML	HCK	TRRUST	21993313	1	PML / HCK
2696	USF1	AVP	PAZAR	10585887	1	USF1 / AVP
2697	NFKB1	CD80	TRRUST	11359799|12860928	2	NFKB1 / CD80
2698	RELB	PIGR	TRRUST	15265917	1	RELB / PIGR
2699	NR0B1	NOS1	TRRUST	19726747	1	NR0B1 / NOS1
2700	NR1H4	PPARA	Fastforward	12554753	1	NR1H4 / PPARA
2701	E2F1	PLK1	TFacTs|TRRUST	|18439978|24076372	3	E2F1 / PLK1
2702	YY1	VWF	TRRUST	11522021	1	YY1 / VWF
2703	MYCN	FGFRL1	HTRI	16093321	1	MYCN / FGFRL1
2704	NR1I2	ARNT2	HTRI	19129222	1	NR1I2 / ARNT2
2705	APC	AMHR2	TRRUST	12724325	1	APC / AMHR2
2706	NFKB1	CXCL10	TRRUST	16982926|20164184|24701034|16818736|19479051|24257594	6	NFKB1 / CXCL10
2707	RELA	CD86	TRRUST	15895390|15949284|18929846|19164127|10586028	5	RELA / CD86
2708	ESR1	SSFA2	HTRI	20034404	1	ESR1 / SSFA2
2709	CEBPB	HSD11B1	TFacTs	19088256	1	CEBPB / HSD11B1
2710	TFAP2A	CEBPA	Fastforward	9520389	1	TFAP2A / CEBPA
2711	RFX1	HLA-DRA	TRRUST	11889043	1	RFX1 / HLA-DRA
2712	HNF1A	LPA	TFacTs	|8051057	2	HNF1A / LPA
2713	E2F1	ERICD	TRRUST	24168400	1	E2F1 / ERICD
2714	SP1	CCNA2	TRRUST	18368381	1	SP1 / CCNA2
2715	WT1	ODC1	TRRUST	8604351	1	WT1 / ODC1
2716	AHR	CYP1A1	HTRI|TRRUST	17785579|9698073|16972788|10359656|12213390|9865727|17012224|10359656|12376470|15325265|19376845|21357676|24639079|8631128|9698073	13	AHR / CYP1A1
2717	KLF11	PDX1	HTRI|PAZAR|TRRUST	19843526|19843526|19843526	1	KLF11 / PDX1
2718	MYCN	HLA-C	TRRUST	8895520	1	MYCN / HLA-C
2719	JUNB	IL1B	TRRUST	11306276	1	JUNB / IL1B
2720	FLI1	MMP1	TRRUST	15972796	1	FLI1 / MMP1
2721	SPI1	CD209	PAZAR	16051608	1	SPI1 / CD209
2722	DDIT3	MCL1	TRRUST	22253918	1	DDIT3 / MCL1
2723	STAT5B	ESR1	TRRUST	11731618	1	STAT5B / ESR1
2724	FOXK2	IL2	TRRUST	16624804	1	FOXK2 / IL2
2725	RXRA	GNRH2	TRRUST	17451432	1	RXRA / GNRH2
2726	SP1	PLAU	HTRI|TRRUST	10361124|10361124	1	SP1 / PLAU
2727	SOX9	RGR	ORegAnno	24634209	1	SOX9 / RGR
2728	ETS1	F13A1	TRRUST	10037697	1	ETS1 / F13A1
2729	NFYB	CDKN1B	TRRUST	15064717	1	NFYB / CDKN1B
2730	NFKB1	TLR3	TRRUST	20658750|16423052	2	NFKB1 / TLR3
2731	LYL1	STMN1	TRRUST	23000483	1	LYL1 / STMN1
2732	RUNX1	ITGB2	TRRUST	12855590	1	RUNX1 / ITGB2
2733	MYC	SNRPB	HTRI	12747840	1	MYC / SNRPB
2734	CEBPA	DEFA1	TRRUST	10706719	1	CEBPA / DEFA1
2735	NR3C2	CCR6	TRRUST	11751947	1	NR3C2 / CCR6
2736	IRF2	NR3C1	Fastforward	11463861|15576464	2	IRF2 / NR3C1
2737	STAT1	MMP13	TRRUST	17179173	1	STAT1 / MMP13
2738	SREBF1	IRS2	TRRUST	15881188|16091421	2	SREBF1 / IRS2
2739	EGR1	CYP2B6	TRRUST	18303024	1	EGR1 / CYP2B6
