TF	Target	Sources	PMIDs	N
HTATIP2	MMP2	TRRUST	19349353	1
THRB	TRH	PAZAR	9140079	1
SP1	CBFB	TRRUST	9064279	1
KDM4B	CCNA1	TRRUST	20682797	1
PPARG	ANGPTL4	TRRUST	15190076|14570927	2
CDX2	MEP1A	TRRUST	22326557	1
DDB1	CDKN2A	TRRUST	19208841	1
CREBBP	TP53	TRRUST	15154850	1
GLI2	FOXC2	TRRUST	19360354	1
VDR	PODXL	TRRUST	23548800	1
BRCA1	CDKN1B	TRRUST	18025037|16331276	2
MYCN	NDRG1	TRRUST	19322780|11936845|14734473|23554972	4
HDAC2	CDH1	TRRUST	19706751|20714342|21685935	3
NCOR2	PCK2	TRRUST	17456789	1
NR2E1	PTEN	PAZAR	16702404	1
ESR2	MEF2D	HTRI	20034404	1
SREBF1	PPARG	Fastforward|TRRUST	10409739|10409739	1
DMAP1	CDKN1A	TRRUST	24559687	1
NUPR1	EP300	TRRUST	22858377	1
MYCN	HLA-B	TRRUST	8895520	1
STAT3	MYC	TRRUST	15184887|17204573|19259613|20067773|22317895|10464281|15469392|18184402|20654581	9
MYC	RPS16	HTRI	12747840	1
STAT1	LY96	TRRUST	21572044	1
CBFA2T3	TCF12	TRRUST	18456661	1
CIITA	MMP9	TRRUST	15247301	1
USF2	TOP3A	TRRUST	11557042	1
MITF	TPH1	TFacTs	1999537	1
POU2F3	SPRR2A	TRRUST	8816448	1
MYC	WNT10B	HTRI	12747840	1
CTCF	CEP135	ORegAnno	22951020	1
MYC	ZNF271P	HTRI	12747840	1
SCD5	EGR2	TRRUST	22510410	1
IRF8	CFLAR	TRRUST	19155307	1
HINFP	RB1	Fastforward	8119988	1
GLI1	CDK2	TRRUST	20647328	1
HDAC1	RARB	TRRUST	14731134	1
PPARGC1A	LDLR	TFacTs	|19322023	2
E2F2	CCND3	TFacTs	|12611887	2
AR	KLK2	TRRUST	11532861|16751804|20688158|9241247	4
JUN	ALOX12	TRRUST	14518567	1
NFKB1	CEACAM1	TRRUST	11306560	1
TCF7	NT5E	TFacTs	15149841	1
RELA	TRPC1	TRRUST	16709572	1
SP3	DLEC1	HTRI	19116449	1
MYC	THBS1	TFacTs	|14519204	2
SP3	UBC	HTRI|TRRUST	19733223|19733223	1
ESR1	FLT1	TRRUST	17242190	1
E2F6	WDR36	HTRI	12909625	1
SP1	TICAM1	TRRUST	14960149	1
KLF6	ATF3	TRRUST	18755691	1
ESR2	NBPF1	HTRI	19376833	1
FIGLA	TCF3	TRRUST	18499083	1
STAT1	SP100	Fastforward	8810287	1
MYC	JUN	HTRI	12695333	1
GLI2	RNASE3	TFacTs	|14691458	2
PITX1	NKX3-1	TRRUST	21425961	1
NR1I2	CES1	HTRI	19129222	1
SP1	NDUFS8	HTRI	11955626	1
SMARCB1	CDKN2A	TRRUST	14604992	1
NFYA	CBS	TRRUST	12427542	1
STAT1	INO80	ORegAnno	22951020	1
E2F1	SP3	TFacTs	|18342022	2
RXRA	SERPINC1	TRRUST	8910619	1
NCOA3	OXT	PAZAR	11574541	1
SP1	MUC4	TRRUST	11418607	1
TP53	BCL2	TRRUST	11313951|17693666|19411072|20428827|9000137|21859835	6
UTF1	CDKN1B	TRRUST	23536577	1
NR0B2	G6PC	TRRUST	15358835	1
CTCF	COL27A1	ORegAnno	22951020	1
ZIC1	FAM57A	TRRUST	20713527	1
SP1	IGFBP4	HTRI|TRRUST	10342835|10342835	1
STAT1	JAK2	TRRUST	21239533	1
HDAC1	BIRC5	TRRUST	17124180	1
KAT2B	LIN28A	TRRUST	24631505	1
SP3	ALPL	HTRI|TRRUST	11073119|11073119	1
TCF4	WNT4	TRRUST	21436631	1
SP1	CSNK2A1	TRRUST	19027835	1
TP73	CDK1	HTRI|TRRUST	19861536|19067706	2
LEF1	APP	TFacTs	15979100	1
SRF	MMP14	TRRUST	12654640	1
ESR1	AHR	TRRUST	10620335	1
OTX2	CDC25C	TRRUST	21047732	1
SMAD3	ZFP36	TFacTs|TRRUST	12754205|12754205	1
WWTR1	BAK1	TRRUST	22470139	1
MYC	MBD1	HTRI	12747840	1
EGR1	FAP	TRRUST	20515787	1
NFYA	STK11	TRRUST	22412893	1
SOX9	MITF	TRRUST	17702866	1
RARA	FOLR2	HTRI	12543860	1
ESR1	XCL2	HTRI	20034404	1
EGR2	IDO1	TRRUST	24007274	1
NR3C1	MUC4	TRRUST	11418607	1
ZNF350	TRIM28	TRRUST	22975076	1
PAX5	CD79A	TRRUST	9545244	1
USF2	FMR1	TRRUST	11058604|15175277	2
FOXA2	APOA1	ORegAnno|PAZAR|TRRUST	7961760|7961760|7961760	1
HNF4A	CYP2C9	HTRI|TRRUST	20086032|16540586|15919766|15919766|16540586|18552123|20086032|16882880	5
E2F3	TERT	TFacTs	|12368233	2
ZNF143	BUB1B	TRRUST	17478512	1
IKZF1	STAT4	Fastforward	16081070	1
ETS2	ICAM1	TRRUST	9572487	1
TP73	BBC3	TRRUST	17700533	1
RELA	IFNB1	TRRUST	10074115|12077266|17496231|15955070|16125763|17079305|22547704	7
ETS1	TGFBR2	TRRUST	14976186|10508522	2
MYC	TBP	Fastforward	7880838	1
SP1	CREB1	Fastforward|TRRUST	17937658|17937658	1
RB1	CDH1	TRRUST	12391156	1
TFAP2A	TAF7	HTRI|Fastforward|TRRUST	12364593|12364593|12364593	1
SMAD2	SERPINB5	TFacTs	|17204482	2
MYC	YBX1	Fastforward	12080043	1
STAT1	IFNG	TRRUST	13678429|15055356|18616672|16195385|20004484	5
NFKB1	FLT4	TRRUST	19901262	1
JUND	BCL6	TRRUST	22493372|18071306	2
ERG	FGF2	TRRUST	12137767	1
EPAS1	FLT1	TRRUST	15192019|19616846	2
ASCL1	TPH1	TRRUST	19744316	1
TCF7L2	BCL2L2	TFacTs	pmid: 19124064	1
MZF1	CDH2	TRRUST	15541732	1
HIVEP2	HLA-A	TRRUST	1409593	1
TP53	WRN	TRRUST	11427532	1
HOXA10	IGFBP1	TRRUST	15200677|20478621	2
NR1I2	LRR1	HTRI	19129222	1
EPAS1	VEGFA	HTRI|TRRUST	11912213|11301389|11751212|16900513|19080330|15156561|16920734	7
CREBBP	HOXA10	TRRUST	16849538	1
MEF2D	HDAC7	TRRUST	15171250	1
RFXANK	HLA-DRB1	TRRUST	11258423	1
KLF4	NANOG	Fastforward|TFacTs|TRRUST	19522013||19522013|19522013	2
SP1	ADRA2B	TRRUST	15037199	1
NOTCH1	MYC	Fastforward	18490439	1
HOXA1	STAT3	Fastforward	18276758	1
MYC	CSDE1	HTRI|TFacTs	12747840||12747840	2
ATF4	F7	TRRUST	22848420	1
RELA	AR	TRRUST	14715080|15517885|16619263	3
IRF5	PDLIM7	TRRUST	16140744	1
TP53	FRMD5	TRRUST	19139068	1
SNAI2	POU5F1	TRRUST	21567100	1
SP1	SGPL1	TRRUST	21184844	1
SP1	NFKB1	TRRUST	20538607|9151857	2
AHR	ARNT	TRRUST	19255421|8631989	2
GATA3	STAT4	TRRUST	21632975	1
STAT2	STAT1	TRRUST	21498520	1
NFYB	FAS	TRRUST	9261184	1
STAT3	ESR2	TRRUST	21546410	1
POU5F1	GATA6	TRRUST	14990861|17068183	2
CEBPB	MAD1L1	TRRUST	21345218	1
NFKB1	CSF2	TRRUST	18285351	1
HIF1A	CCR7	TRRUST	17178876|19305150	2
TP53	HAMP	HTRI	17593032	1
ERG	ERG	TRRUST	21536859	1
MYCN	GALNT14	HTRI	16093321	1
GATA2	SIRT2	ORegAnno	22951020	1
MYC	STAT6	HTRI	12695333	1
HNF1B	TMEM27	PAZAR	16330323|17476336	2
PAX6	GIP	PAZAR	18593849	1
USF1	SLC6A2	PAZAR	11333263	1
ONECUT2	FOXA2	Fastforward	9915796	1
SP1	MUC2	HTRI|TRRUST	9224654|12077147|11212251	3
CTBP1	BRCA2	TRRUST	18765668	1
CREBBP	HMGCS1	TFacTs	|9651391	2
STAT1	SDHAF2	ORegAnno	22951020	1
MYCN	CTSD	HTRI|TRRUST	18566016|18566016	1
SP1	CBS	TRRUST	11415440|14670973|20392694	3
GATA2	VWA5A	ORegAnno	22951020	1
JUND	ITGAV	TRRUST	23319049	1
NFKB1	TNFSF14	TRRUST	21243522	1
CTCF	ZNF462	ORegAnno	22951020	1
MYCN	MCM5	HTRI|TRRUST	17826980|17826980	1
ETS1	PRL	TRRUST	12200232|21401636	2
AR	PC	TRRUST	18497079	1
EP300	RS1	TRRUST	18927113	1
TFAP2A	DBH	TRRUST	11146001	1
AR	CTNNB1	TRRUST	18535113	1
E2F4	DONSON	ORegAnno	22951020	1
TFAP2C	GPX1	TRRUST	22964634	1
TP53	EPCAM	HTRI	19141643	1
TAL1	BRF1	HTRI	20028976	1
PAX6	GCG	TRRUST	21824252	1
REL	IL1B	TRRUST	8413223	1
CBX7	CDH1	TRRUST	19706751	1
SIRT1	MYC	TRRUST	22245592|22483777	2
TAL1	MAP3K4	HTRI	20028976	1
DBP	ST6GAL1	TFacTs	|1737800	2
ATF4	DDIT3	Fastforward|TRRUST	14630918|19922526|17276738|16246168|17276738|20020050|21044953|21966512|17455323|22691366	9
PPARA	PLIN2	TRRUST	17150915	1
PPARG	POU2F1	TRRUST	12881480	1
MYC	IGF2BP1	TRRUST	21252116	1
ATF5	DISC1	TRRUST	12812986	1
ATF5	SH2D1A	TRRUST	18832568	1
FOS	MT-CO2	HTRI	9620167	1
SMARCA4	CDKN2A	TRRUST	14604992	1
USF1	CYP1A2	HTRI	12663044	1
KLF4	BDKRB2	TRRUST	15632413	1
APEX1	APEX1	Fastforward	8942627	1
NFKB1	BST1	TRRUST	9030974	1
ELK1	MECOM	TRRUST	22689058	1
FOXP1	IL2	PAZAR	12692134	1
JUN	MMP2	TRRUST	15777790	1
PAX2	NCAM1	TRRUST	16406048|19485921	2
MYC	COL4A1	HTRI	12695333	1
MYC	WRN	PAZAR|TRRUST	12842909|12842909	1
BCHE	MB	ORegAnno	8330378	1
VDR	IGFBP1	Fastforward	14963110	1
CTNNBIP1	MMP14	TRRUST	14639622	1
HMGA2	CDH1	TRRUST	19179606	1
MTA1	ALOX15	TRRUST	19198625	1
GTF2IRD1	HOXC8	Fastforward	17346708	1
GLI2	SPART	TFacTs	|14691458	2
KLF4	ALPI	TRRUST	12919939	1
HNF1A	ADH1A	TFacTs	|1620113	2
TCF7	CEACAM5	TFacTs	15890249	1
TFAP2A	ETS1	TRRUST	1945412	1
MYC	TFAM	TRRUST	15988031	1
GCM1	ERVFRD-1	TRRUST	20484742	1
ZBTB7A	CDKN2A	TRRUST	17189472	1
HNF1B	UMOD	TRRUST	18846391	1
CTCFL	BAG1	TRRUST	18413740	1
PML	HCK	TRRUST	21993313	1
USF1	AVP	PAZAR	10585887	1
NFKB1	CD80	TRRUST	11359799|12860928	2
RELB	PIGR	TRRUST	15265917	1
NR0B1	NOS1	TRRUST	19726747	1
NR1H4	PPARA	Fastforward	12554753	1
E2F1	PLK1	TFacTs|TRRUST	|18439978|24076372	3
YY1	VWF	TRRUST	11522021	1
MYCN	FGFRL1	HTRI	16093321	1
NR1I2	ARNT2	HTRI	19129222	1
APC	AMHR2	TRRUST	12724325	1
NFKB1	CXCL10	TRRUST	16982926|20164184|24701034|16818736|19479051|24257594	6
RELA	CD86	TRRUST	15895390|15949284|18929846|19164127|10586028	5
ESR1	SSFA2	HTRI	20034404	1
CEBPB	HSD11B1	TFacTs	19088256	1
TFAP2A	CEBPA	Fastforward	9520389	1
RFX1	HLA-DRA	TRRUST	11889043	1
HNF1A	LPA	TFacTs	|8051057	2
E2F1	ERICD	TRRUST	24168400	1
SP1	CCNA2	TRRUST	18368381	1
WT1	ODC1	TRRUST	8604351	1
AHR	CYP1A1	HTRI|TRRUST	17785579|9698073|16972788|10359656|12213390|9865727|17012224|10359656|12376470|15325265|19376845|21357676|24639079|8631128|9698073	13
KLF11	PDX1	HTRI|PAZAR|TRRUST	19843526|19843526|19843526	1
MYCN	HLA-C	TRRUST	8895520	1
JUNB	IL1B	TRRUST	11306276	1
FLI1	MMP1	TRRUST	15972796	1
SPI1	CD209	PAZAR	16051608	1
DDIT3	MCL1	TRRUST	22253918	1
STAT5B	ESR1	TRRUST	11731618	1
FOXK2	IL2	TRRUST	16624804	1
RXRA	GNRH2	TRRUST	17451432	1
SP1	PLAU	HTRI|TRRUST	10361124|10361124	1
SOX9	RGR	ORegAnno	24634209	1
ETS1	F13A1	TRRUST	10037697	1
NFYB	CDKN1B	TRRUST	15064717	1
NFKB1	TLR3	TRRUST	20658750|16423052	2
LYL1	STMN1	TRRUST	23000483	1
RUNX1	ITGB2	TRRUST	12855590	1
MYC	SNRPB	HTRI	12747840	1
CEBPA	DEFA1	TRRUST	10706719	1
NR3C2	CCR6	TRRUST	11751947	1
IRF2	NR3C1	Fastforward	11463861|15576464	2
STAT1	MMP13	TRRUST	17179173	1
SREBF1	IRS2	TRRUST	15881188|16091421	2
EGR1	CYP2B6	TRRUST	18303024	1
WT1	IRF8	Fastforward|TRRUST	20237505|20237505	1
RB1	HBP1	TRRUST	16966377	1
E2F4	RAD51	HTRI|TRRUST	11799066|20133863|21701264|17001309	4
MYC	CEBPD	Fastforward	20426839	1
YY1	SMAD7	TRRUST	24369345	1
CEBPB	SOX6	Fastforward	17433257	1
GLI1	TSC22D1	TFacTs	|11719506	2
TFAP2A	SP1	HTRI	1634545	1
STAT6	CNR1	TRRUST	18156315	1
HNF4A	ABCG8	TRRUST	21123766	1
E2F4	SLC2A13	ORegAnno	22951020	1
HOXB7	EGFR	TRRUST	21690342	1
SP1	BSG	HTRI|TRRUST	20384626|11814679|20384626|20629990	3
KMT2A	HOXC13	Fastforward	19922474	1
MEF2B	JUN	Fastforward	7760790|8798771|7768982	3
EP300	SLC2A2	TFacTs	|11978637	2
AHR	CYP1A2	HTRI|TRRUST	17785579|21357676	2
TP53	PRG3	TRRUST	12135761	1
STAT3	NOS3	HTRI	16887796	1
TP53	DDB1	TRRUST	16357511|19382146	2
STAT3	TP53	Fastforward|TRRUST	18941194|20043094	2
NFIC	POLE2	TRRUST	11433027	1
SRF	CREB1	TRRUST	1531519	1
MYC	HLA-F	TRRUST	8206526	1
CIITA	HLA-DOB	TRRUST	11823510	1
PITX1	LHB	TRRUST	19106114	1
NFKB1	CXCL2	TRRUST	17363596	1
ZNF160	TLR4	TRRUST	19846881	1
SP1	PAEP	HTRI	11369448	1
FOXP3	NFATC1	Fastforward	19564342	1
NONO	MIA	TRRUST	23672612|24349210	2
E2F1	PIN1	TRRUST	20376080	1
MYCN	BIRC5	TRRUST	22703967	1
STAT3	FAS	TRRUST	15223310|16651438|22313388	3
ATF6	SRF	TRRUST	9271374	1
YBX1	EGFR	HTRI|TRRUST	17875215|17875215|19648825	2
PTMA	IDO1	TRRUST	21176371|21575365	2
SP1	HYAL1	TRRUST	18718911	1
SPI1	IL12B	TRRUST	11254706	1
EOMES	IFNG	TRRUST	20056084	1
AR	NDRG1	TRRUST	17075604	1
TP53	KLF2	TRRUST	23202365	1
YY1	COX6A1	TRRUST	10773445	1
E2F2	MAP3K5	HTRI|TFacTs|TRRUST	16512785||16512785|16512785	2
SP1	CCL2	TRRUST	10644332|12488502	2
AR	PIP	TRRUST	21809344	1
CTNNB1	CLDN2	TFacTs|TRRUST	14751232|14751232	1
FOXO4	HIF1A	TRRUST	12761217|20136501	2
DEK	BCL2	TRRUST	17685435	1
RELA	CD69	TRRUST	10480634	1
SP1	AHR	TRRUST	16410262	1
SOX10	MITF	Fastforward|PAZAR|TRRUST	10973953|10938265|10938265|16921166|16494873|10938265|19026785	5
MYC	TNFRSF8	HTRI	12695333	1
GATA1	ALAS2	TRRUST	23935018	1
MYC	C1QBP	TFacTs	|11983916	2
KLF4	GPA33	HTRI|TRRUST	19551868|19551868	1
IRF1	MYB	Fastforward|TRRUST	10739671|10739671	1
HIF1A	ZNF217	TRRUST	21483406	1
NFYA	LPIN1	TRRUST	19553673	1
TFCP2	NFE2	HTRI	16648487	1
HOXB7	FGF2	TRRUST	21183939|8756643	2
CREB1	EGR1	Fastforward	8704240|8065330|8530445|7608156	4
MEN1	RAD51	TRRUST	23648481	1
EZH2	CIITA	TRRUST	17911618|21266852	2
STAT1	HCFC1	ORegAnno	22951020	1
ELK1	MUC4	TRRUST	19757157	1
SOX2	ABCC3	TRRUST	21531766	1
RELA	IL10	TRRUST	19124729	1
SP3	HAND1	Fastforward	12527202	1
NCOA3	PLAC1	TRRUST	24304549	1
CEBPB	TNFRSF1A	HTRI|ORTI	19523687|	2
RELA	HIF1A	Fastforward|TRRUST	17898080|18498249	2
HOXC11	S100B	TRRUST	20145129	1
HMGA2	POU1F1	TRRUST	22199144	1
ESR1	PRUNE1	HTRI	19376833	1
CIITA	HLA-DRB5	TRRUST	10886240	1
SP1	CTSL	HTRI|TRRUST	11742542|11742542	1
OTX2	RBP3	HTRI|TRRUST	10372988|10354480|10372988|18628516	3
E2F1	CDKN1A	TFacTs|TRRUST	|10030670|10030670|16923815	3
ESR2	MED7	HTRI	20034404	1
LHX3	FSHB	TRRUST	23766128|15271874	2
VDR	IL12B	TRRUST	21310195	1
RFXAP	HLA-DQB1	TRRUST	11258423|18723135	2
MYC	TGFB1	HTRI	12695333	1
ESR1	PWP1	HTRI	20034404	1
MYC	LAIR2	HTRI	12747840	1
PLAGL1	SDHB	TRRUST	19423711	1
CTCF	EPHB1	ORegAnno	22951020	1
NFKB1	CCR3	TRRUST	16604092	1
GATA2	WT1	HTRI|Fastforward|TRRUST	19212333|9361007|19212333	2
SPI1	PRG2	TRRUST	12202480	1
BRCA1	KRT17	TRRUST	19882246	1
CEBPB	PTPN13	TRRUST	11696979	1
NR2C2	LHCGR	TRRUST	11682620	1
ELK4	NR2C2	TRRUST	21126370	1
ETS1	GP9	TFacTs	|11504709	2
FOS	NFKB1	TRRUST	20188076	1
NR4A1	BABAM2	TRRUST	22159226	1
RARA	CXCR5	HTRI|TRRUST	14993281|14993281	1
YY1	NARS	ORegAnno	22951020	1
SOX10	SOX10	HTRI	18786246	1
PARP1	FBN1	TRRUST	23860323	1
HDAC3	EGFR	TRRUST	21464950	1
JARID2	MYL7	TRRUST	18805276	1
REL	BIRC3	TRRUST	11880364	1
TBX3	CDKN1A	TRRUST	20624445	1
SREBF2	PCSK9	TRRUST	17448444|17921436|21123766|22288532	4
E2F1	RBM38	TRRUST	22798430	1
VDR	IL6	TRRUST	11050002	1
MYC	RPS15	HTRI	12695333	1
GLI2	IL1R2	TFacTs	|14691458	2
REST	VGF	TRRUST	19118055	1
KLF6	IGF1R	TRRUST	15131018	1
IRF1	HLA-G	HTRI|TRRUST	11087747|11087747	1
ATF3	ATF3	Fastforward	10748147	1
ESR1	JUNB	TRRUST	11477071	1
TP53	REEP5	TRRUST	8557038	1
MEF2D	ATF3	TRRUST	17108111	1
BRCA1	HNRNPA2B1	TRRUST	21099359	1
HNF4A	CYP2C8	HTRI|TRRUST	20086032|20086032	1
MYC	ARF4	HTRI	12695333	1
E2F4	KATNAL1	ORegAnno	22951020	1
HNF1A	CSRP1	TRRUST	18292576	1
TCF4	KLF4	TRRUST	18977346	1
EGR1	PDGFA	HTRI	9351401|9242190|7499234	3
MYC	ACP5	HTRI	12695333	1
ID3	TCF3	TRRUST	24492847	1
PIAS2	MUC1	TRRUST	17717071	1
E2F1	BIRC5	TRRUST	17848598|19102934|23449974	3
TFAP2C	CDKN1A	TRRUST	22371483	1
NR1I2	TUBB	HTRI	19129222	1
KLF6	CDKN1A	TRRUST	12740910|18822210|23085750|15172991|22277651	5
NFKB1	IL4	TRRUST	12516545	1
SNIP1	CCND1	TRRUST	17260016	1
NFYB	CDK1	Fastforward	10438472|10514438|7760824	3
ABL1	FOXO3	TRRUST	15509806	1
ZNF382	HMGA2	TRRUST	20682794	1
STAT4	IFNG	TRRUST	9558063|9642277	2
HEY1	PROX1	TRRUST	22719258	1
FOXM1	ESR1	Fastforward|PAZAR	16809346|16809346	1
E2F1	CDKN2C	TFacTs	|12077144	2
WT1	CAMP	TRRUST	12213901	1
REST	GJD2	TRRUST	14565956	1
DUX4	HEY1	TRRUST	24278031	1
RELA	TRIB3	TRRUST	12736262	1
STAT1	FBXO5	ORegAnno	22951020	1
SREBF2	ACOT7	HTRI|TRRUST	16335799|16335799	1
STAT3	IL1RN	TRRUST	20032313	1
GATA2	CCM2	ORegAnno	22951020	1
SP1	CD99	HTRI|TRRUST	8460398|17473187	2
BRCA1	KRT18	TRRUST	15831101	1
YY1	ADORA2A	TRRUST	20666933	1
HDAC4	PTGS2	TRRUST	18820298	1
HOXA11	PRL	HTRI	19727442	1
CREB1	CD4	TRRUST	9765424	1
RELA	HLA-F	TRRUST	11137213	1
HIPK2	TP53	TRRUST	12851404	1
GATA3	RAPGEF3	HTRI	19559773	1
SP1	TBX21	Fastforward|TRRUST	17705132|17075044	2
HIF1A	TLR2	TRRUST	18159247	1
NR1H3	FBP1	TFacTs	|19258656	2
PRDM1	SPIB	Fastforward	12150891	1
NFATC2	MDM2	TRRUST	22787160	1
HOXA1	STAT5B	Fastforward	18276758	1
STAT1	IRF1	HTRI|Fastforward|PAZAR|TRRUST	8647845|11390454|9312047|7678055|9336467|10068671|10358173|14993214|8168491|9373245|8621447|7678055|18497060|18694960|8647845|22002246|10068671|10764778|12077266|18401423|24478085	18
POU1F1	PRL	TRRUST	16879162|7529501|11081207|11874696|17240357|17933456|19808898|7877625|9207961|9822660	10
RARG	FOLR2	HTRI	12543860	1
RREB1	SLC39A3	TRRUST	21613827	1
TP53	DDB2	Fastforward|TRRUST	11971958|16357511|12771027|12967652|15856024|15927209|22336944	7
E2F1	LACTB	HTRI	12629508	1
MEF2A	MAPK14	TRRUST	18073218	1
SP1	FOXM1	TRRUST	20372080	1
HSF1	NFKB1	TRRUST	18689673	1
POU5F1	DKK1	TRRUST	17068183	1
NFYB	SP1	Fastforward	12513689	1
CREBBP	HINFP	TRRUST	17826007	1
E2F1	B4GALT1	TFacTs	|20538716	2
RXRA	HNF4A	Fastforward|TRRUST	11585914|11027556	2
AIP	TFF1	TRRUST	21984905	1
KLF3	CKM	TRRUST	20404088	1
EGR1	SPRY1	TRRUST	21826097	1
REL	CRP	HTRI|TRRUST	18684932|18684932	1
ZNF362	CDKN2A	HTRI	19340300	1
PRDM1	MKI67	TRRUST	20530581	1
CEBPB	ALOX5AP	HTRI|ORTI	12571239|	2
HIF1A	PLAU	TRRUST	14567996	1
TCF7L2	DKK1	TFacTs	pmid: 15592430|pmid: 15592505	2
SP1	SOD2	TRRUST	11853549|18779124|23500038	3
TWIST1	AKR1C2	TRRUST	19051271	1
BRCA1	DDIT3	TRRUST	21700680	1
AR	KISS1	TRRUST	18331266	1
YY1	BRCA1	TRRUST	21666725	1
TCF4	PTEN	TRRUST	21132538	1
FOXM1	CDKN2A	TRRUST	22461910	1
HDAC7	MEF2C	TRRUST	11585834	1
NFKB2	CCL21	TRRUST	20953353	1
HMGA1	CDH1	TRRUST	22276142	1
FOS	FAS	TRRUST	10903433	1
CTCF	ESRP2	ORegAnno	22951020	1
CREM	CCNA2	TRRUST	9280058	1
CTNNB1	TNFRSF11B	TFacTs	pmid: 18676739	1
MYC	PLA2G4A	HTRI	12695333	1
CTCF	HAUS7	ORegAnno	22951020	1
CDX2	ELMO3	TRRUST	20127720	1
SOX4	NCAM1	TRRUST	20049565	1
RELA	TRAF2	TRRUST	15041463|15723831|19392652	3
NFIL3	PGR	TRRUST	1620116	1
GATA4	HAMP	TRRUST	21609320	1
MYC	KLF1	HTRI	12695333	1
KLF8	SLC22A3	TRRUST	17671186	1
TP53	ZSCAN25	HTRI	16980608	1
DR1	PTGS2	TRRUST	11840453	1
MYCN	BAX	TRRUST	19885598	1
PARP1	RELA	TRRUST	16026317	1
CREG1	HSPA4	TRRUST	9710587	1
SP1	FES	TRRUST	8657143	1
GATA4	NPPA	TRRUST	14573514	1
NFIC	HGF	TRRUST	10860846	1
HDAC1	E2F1	TRRUST	9724731	1
JUND	NOS2	TRRUST	12788789	1
SREBF1	FDPS	TFacTs|TRRUST	|9651391|8798690	3
NPM1	MDM2	TRRUST	23393136	1
FOXO3	IFI27	HTRI	17522055	1
MYCN	ABCC1	TRRUST	10348353|14737110|7923112|9516823	4
FLI1	CCK	TRRUST	17438102	1
HNF1A	UGT1A10	HTRI|TRRUST	15044625|15044625	1
ESR1	FOXP1	TRRUST	21901488	1
GATA1	GP1BB	TRRUST	8703016|11418466	2
NR1I2	MAP3K20	HTRI	19129222	1
CDX2	CLDN2	TFacTs	11934881	1
NPM1	CDKN1A	TRRUST	19221506	1
TFAP2A	HOXA4	TRRUST	8759021	1
RUNX3	CASP3	TRRUST	15930301|19290488	2
SP1	MMP14	TRRUST	15592504|10721699|17534446	3
SNAI2	MMP9	TRRUST	22074556	1
E2F1	PLK3	TFacTs	|18439978	2
NR1I2	FGF19	TRRUST	17696253	1
ETS1	FLI1	TRRUST	19829305	1
ZHX2	AFP	TRRUST	23837980	1
TIAL1	PF4	HTRI|TRRUST	9207209|9207209	1
E2F5	FSHR	TRRUST	11883315	1
FOS	NEFL	TRRUST	8180132	1
IRF7	IFNL1	TRRUST	17785777	1
PITX2	WNT5A	TRRUST	23250740	1
PRDM1	MYC	TRRUST	10713181|12032779	2
TFAP4	MUC4	TRRUST	11418607	1
NCOR2	NR1I2	TRRUST	16219912	1
HEY2	ACTA2	TRRUST	18239137	1
CTNNB1	IGFBP6	TFacTs	pmid: 14737101	1
YY1	CETP	HTRI|TFacTs|TRRUST	10393213||10393213|10393213	2
NFYA	FAS	TRRUST	9261184	1
THRB	CGA	HTRI|TRRUST	2480596|9709914|2480596|9709914	2
YY1	PEG3	TRRUST	18458536	1
MYC	EP300	TRRUST	12776737	1
REL	CD74	HTRI	8164652	1
RELB	CD40	TRRUST	11027342	1
MYC	CASP9	HTRI	12695333	1
MECP2	GAD1	TRRUST	19029285	1
ELK1	ERBB2	TRRUST	7914192	1
THRA	CGA	HTRI|TRRUST	9709914|9709914	1
TWIST2	ILK	TRRUST	19051271	1
ZNF24	CCND1	TRRUST	22213192	1
YY1	HLA-DRA	TRRUST	11533238|19252299	2
HDAC11	TNF	TRRUST	21239696	1
CTNNB1	FGF18	TFacTs	14559787	1
EGR1	CD28	TRRUST	10510368	1
KAT2B	CYP1B1	TRRUST	20631054	1
GLI2	CDKN1A	TFacTs	|14691458	2
TBX21	GATA3	TRRUST	17075044	1
TCF7L2	SNAI2	TRRUST	20128911	1
RUVBL1	TP53	TRRUST	21617703	1
ERG	VIM	TRRUST	8895512	1
ETS1	MUC4	TRRUST	19757157	1
ATF2	DUSP10	TRRUST	17681939	1
HDAC1	TNFRSF10A	TRRUST	18408217	1
FOXD3	RARB	TRRUST	23058321	1
NR1I2	PTAFR	TRRUST	19703903	1
TAL1	MYB	TRRUST	22897851	1
RELA	PTHLH	TRRUST	17554373	1
ABL1	BCL2	TRRUST	11753601	1
EP300	CREBBP	TRRUST	9651310	1
TFAP2A	BCL2	HTRI|TRRUST	12391156|16533807	2
TP53	NLRC4	TRRUST	15580302	1
NFKB1	IFNA1	TRRUST	8035474|15331713	2
POU3F1	EGR2	Fastforward	16311519	1
PER2	TWIST1	TRRUST	23836662	1
SP3	CFTR	TRRUST	16877677	1
STAT5A	CEL	TRRUST	9841868	1
USF1	APC	Fastforward|TRRUST	11279192|11241666|11241666	2
HIF1A	LEP	TRRUST	18559540|19080496	2
IRF7	IFNL2	TRRUST	17785777	1
VDR	BHLHE40	TRRUST	23220548	1
ESR1	ITGB7	HTRI	20034404	1
STAT3	SAA1	TRRUST	16236134|23391827	2
SPI1	ACP5	TRRUST	11481336	1
AIRE	CHRNA1	TRRUST	17687331	1
ARNT	MFSD2A	TRRUST	21736709	1
